TC,HOMECODE,AWAYCODE,TIMEr,HTR,FTR,HT_home_goals,HT_away_goals,FT_home_goals,FT_away_goals,HT_Results_1_0_2,FT_Results_1_0_2,TIMER,TIMED,1,2,X,HT1,HT2,HTX,FS (0:0),FS(0:0)2,FS(0:0)X,G(0.5)O,G(0.5)U,G(1.5)O,G(1.5)U,G(2.5)O,G(2.5)U,G(3.5)O,G(3.5)U,G(4.5)O,G(4.5)U,Under_Over_1.5,Under_Over_2.5,Under_Over_3.5
ATHENS COPENHAGEN,10,12,23:02,0:2,1:3,0,2,1,3,2,2,18/07/29 00:02,Sun 00:02,1.85,4.75,3.4,2.5,5,2.05,1.65,3,6.75,0,6.75,1.6,2.2,0,1.4,0,0,0,0,1,1,1
LISBON OSLO,7,6,23:02,2:0,2:0,2,0,2,0,1,1,18/07/29 00:02,Sun 00:02,2.15,3.5,3.3,2.45,3.7,2.5,1.75,2.4,9.75,0,0,1.4,2.65,2.4,1.5,4.45,1.18,0,0,0,0,1
PARIS AMSTERDAM,8,2,23:02,2:1,2:2,2,1,2,2,1,0,18/07/29 00:02,Sun 00:02,3.55,1.9,4.2,3.9,2.2,2.7,2.55,1.55,19.25,0,0,1.25,3.6,1.75,2,3.05,1.35,0,0,1,1,1
LONDON VIENNA,4,13,23:02,0:1,2:1,0,1,2,1,2,1,18/07/29 00:02,Sun 00:02,1.35,10,5,1.6,9.75,2.75,1.25,4.45,17,0,0,1.22,3.8,1.9,1.85,3.2,1.3,0,0,0,1,1
ANKARA EDINBURGH,14,15,23:02,2:0,2:1,2,0,2,1,1,1,18/07/29 00:02,Sun 00:02,2.15,3.05,3.85,2.55,4.1,2.25,1.85,2.2,12,0,0,1.35,2.9,2,1.7,3.55,1.25,0,0,0,1,1
MADRID BERLIN,1,3,23:02,1:0,2:0,1,0,2,0,1,1,18/07/29 00:02,Sun 00:02,1.85,3.65,4.3,2.35,3.55,2.7,1.7,2.25,19.75,0,0,1.18,4.3,1.5,2.4,2.5,1.45,0,0,0,0,1
BERN ROME,16,5,23:02,0:1,0:3,0,1,0,3,2,2,18/07/29 00:02,Sun 00:02,3.9,1.85,3.95,4.8,2.1,2.5,2.7,1.6,12.5,0,0,1.35,2.95,2.05,1.7,3.5,1.25,0,0,0,1,1
BRUSSELS STOCKHOLM,9,11,23:02,1:1,4:2,1,1,4,2,0,1,18/07/29 00:02,Sun 00:02,1.9,3.85,3.8,2.4,3.8,2.5,1.65,2.55,11,0,0,1.35,2.85,2.05,1.7,3.65,1.25,0,0,1,1,1
PARIS MADRID,8,1,23:07,0:0,0:1,0,0,0,1,0,2,18/07/29 00:07,Sun 00:07,4.05,1.8,4.05,4.1,2.15,2.7,2.3,1.6,28,0,0,0,0,1.45,2.6,2.25,1.6,4.15,1.2,0,0,0
BERLIN ANKARA,3,14,23:07,0:1,2:1,0,1,2,1,2,1,18/07/29 00:07,Sun 00:07,1.35,9.75,4.95,1.65,8,2.9,1.25,4.75,14.75,0,0,1.22,3.8,1.7,2.05,2.95,1.35,0,0,0,1,1
EDINBURGH LONDON,15,4,23:07,0:0,0:0,0,0,0,0,0,0,18/07/29 00:07,Sun 00:07,6.5,1.55,4.15,6.25,1.85,2.6,3.05,1.4,23,0,0,1.18,4.2,1.6,2.15,2.4,1.5,0,0,0,0,0
AMSTERDAM COPENHAGEN,2,12,23:07,2:0,3:0,2,0,3,0,1,1,18/07/29 00:07,Sun 00:07,1.4,9.5,4.15,1.8,9.25,2.4,1.35,4.6,7.75,0,0,1.45,2.55,2.1,1.65,3.9,1.22,0,0,0,1,1
STOCKHOLM BERN,11,16,23:07,1:2,1:3,1,2,1,3,2,2,18/07/29 00:07,Sun 00:07,1.65,4.65,4.45,2.1,4.55,2.6,1.5,2.7,18.25,0,0,1.2,4.15,1.65,2.1,2.75,1.4,0,0,1,1,1
VIENNA LISBON,13,7,23:07,1:1,1:2,1,1,1,2,0,2,18/07/29 00:07,Sun 00:07,5,1.75,3.6,5.25,2.15,2.35,3.3,1.5,8.25,0,0,1.55,2.3,2.65,1.4,5.25,1.12,0,0,0,1,1
ROME ATHENS,5,10,23:07,1:0,1:0,1,0,1,0,1,1,18/07/29 00:07,Sun 00:07,1.55,5.25,4.5,1.95,5.25,2.65,1.4,3.1,17.25,0,0,1.2,4,1.65,2.1,2.85,1.35,0,0,0,0,0
OSLO BRUSSELS,6,9,23:07,1:0,1:0,1,0,1,0,1,1,18/07/29 00:07,Sun 00:07,1.9,4.45,3.3,2.3,4.75,2.3,1.55,2.9,10.5,0,0,1.45,2.6,2.45,1.5,4.75,1.15,0,0,0,0,0
ANKARA PARIS,14,8,23:11,2:2,2:3,2,2,2,3,0,2,18/07/29 00:11,Sun 00:11,3,2.25,3.65,3.2,2.75,2.5,2.1,1.85,16.75,0,0,1.25,3.6,1.75,2,2.75,1.4,0,0,1,1,1
