TC,HOMECODE,AWAYCODE,TIMEr,HTR,FTR,HT_home_goals,HT_away_goals,FT_home_goals,FT_away_goals,HT_Results_1_0_2,FT_Results_1_0_2,TIMER,TIMED,1,2,X,HT1,HT2,HTX,FS (0:0),FS(0:0)2,FS(0:0)X,G(0.5)O,G(0.5)U,G(1.5)O,G(1.5)U,G(2.5)O,G(2.5)U,G(3.5)O,G(3.5)U,G(4.5)O,G(4.5)U,Under_Over_1.5,Under_Over_2.5,Under_Over_3.5
MADRID AMSTERDAM,1,2,23:04,0:1,0:2,0,1,0,2,2,2,18/09/07 00:04,Fri 00:04,2.1,3,4.1,2.3,2.95,3.3,1.75,2.15,21,0,0,0,0,1.45,2.5,2.35,1.55,4.75,1.15,1,0,0
EDINBURGH BERLIN,15,3,23:04,0:1,1:3,0,1,1,3,2,2,18/09/07 00:04,Fri 00:04,5.75,1.5,4.7,6,1.85,2.75,3,1.45,16.25,0,0,1.25,3.5,1.75,1.95,3.05,1.35,0,0,1,1,1
ATHENS BERN,10,16,23:04,2:0,2:0,2,0,2,0,1,1,18/09/07 00:04,Fri 00:04,1.8,4.4,3.65,2.15,4.5,2.5,1.6,2.7,11.25,0,0,1.35,2.85,2.25,1.55,4.05,1.2,0,0,1,0,0
LONDON PARIS,4,8,23:04,2:2,4:3,2,2,4,3,0,1,18/09/07 00:04,Fri 00:04,1.6,5,4.3,1.9,4.75,2.9,1.5,2.75,19.75,0,0,0,0,1.6,2.25,2.45,1.5,4.2,1.18,1,1,1
BRUSSELS ANKARA,9,14,23:04,2:0,2:0,2,0,2,0,1,1,18/09/07 00:04,Fri 00:04,1.75,5.75,3.2,2.3,5.25,2.2,1.6,2.95,8,0,0,1.45,2.6,2.55,1.45,5.25,1.12,0,0,1,0,0
LISBON OSLO,7,6,23:04,0:0,0:0,0,0,0,0,0,0,18/09/07 00:04,Fri 00:04,2.25,3.5,3.15,2.65,4.15,2.2,1.8,2.55,7.5,0,0,1.45,2.6,2.3,1.55,4.25,1.18,0,0,0,0,0
COPENHAGEN STOCKHOLM,12,11,23:04,0:1,3:1,0,1,3,1,2,1,18/09/07 00:04,Fri 00:04,2.5,2.75,3.5,3.35,3.7,1.95,2.05,2.05,9.5,0,0,1.4,2.7,2.25,1.55,4.05,1.2,0,0,1,1,1
VIENNA ROME,13,5,23:04,0:0,0:0,0,0,0,0,0,0,18/09/07 00:04,Fri 00:04,4,1.85,3.85,4.1,2.2,2.6,2.55,1.65,11.75,0,0,1.35,3.05,1.95,1.8,3.9,1.22,0,0,0,0,0
LISBON AMSTERDAM,7,2,23:13,0:1,1:2,0,1,1,2,2,2,18/09/07 00:13,Fri 00:13,2.5,2.9,3.3,2.95,3.6,2.2,1.9,2.15,11,0,0,1.4,2.7,2.4,1.5,4.3,1.18,0,0,1,1,0
MADRID BRUSSELS,1,9,23:13,0:1,1:1,0,1,1,1,2,0,18/09/07 00:13,Fri 00:13,1.4,6.5,5.25,1.8,7.5,2.55,1.35,3.65,16,0,0,1.22,3.75,1.75,2,3.1,1.3,0,0,1,0,0
STOCKHOLM BERN,11,16,23:13,0:2,4:2,0,2,4,2,2,1,18/09/07 00:13,Fri 00:13,1.65,4.85,4.35,2.15,4.45,2.55,1.55,2.65,18,0,0,1.2,4.1,1.65,2.15,2.7,1.4,0,0,1,1,1
VIENNA BERLIN,13,3,23:13,0:0,1:1,0,0,1,1,0,0,18/09/07 00:13,Fri 00:13,6,1.6,3.8,5.75,2,2.5,3.1,1.5,10,0,0,1.45,2.55,2.4,1.5,4.7,1.15,0,0,1,0,0
EDINBURGH ANKARA,15,14,23:13,1:0,2:0,1,0,2,0,1,1,18/09/07 00:13,Fri 00:13,2.3,3.05,3.55,2.55,3.7,2.35,1.7,2.25,16.25,0,0,1.25,3.55,1.9,1.8,3.45,1.25,0,0,1,0,0
ATHENS PARIS,10,8,23:13,1:0,2:2,1,0,2,2,1,0,18/09/07 00:13,Fri 00:13,2.2,3.15,3.5,2.45,3.8,2.45,1.7,2.4,12.75,0,0,1.25,3.6,1.8,1.9,3.5,1.25,0,0,1,1,1
LONDON OSLO,4,6,23:13,1:1,1:1,1,1,1,1,0,0,18/09/07 00:13,Fri 00:13,2.15,3.5,3.3,2.45,3.8,2.45,1.75,2.25,13.25,0,0,1.25,3.5,1.8,1.9,3,1.35,0,0,1,0,0
COPENHAGEN ROME,12,5,23:13,0:2,1:2,0,2,1,2,2,2,18/09/07 00:13,Fri 00:13,4.1,1.95,3.35,5,2.35,2.2,2.85,1.7,7.25,0,0,1.5,2.4,2.45,1.5,4.75,1.15,0,0,1,1,0
MADRID LONDON,1,4,23:21,2:0,3:1,2,0,3,1,1,1,18/09/07 00:21,Fri 00:21,1.85,3.65,4.2,2.1,3.35,3.3,1.65,2.2,35,0,0,0,0,1.45,2.55,2.15,1.65,4,1.2,1,1,1
PARIS ROME,8,5,23:21,1:0,2:2,1,0,2,2,1,0,18/09/07 00:21,Fri 00:21,2.9,2.25,3.85,3.3,2.8,2.4,2.15,1.75,19.5,0,0,0,0,1.6,2.2,2.45,1.5,4.3,1.18,1,1,1
