1,2,X,HT1,HT2,HTX,FS (0:0),FS(0:0)2,FS(0:0)X,TEAMSd,TIMED,'G(0.5)O''',G(0.5)U,G(1.5)O,G(1.5)U,G(2.5)O,G(2.5)U,G(3.5)O,G(3.5)U,G(4.5)O,G(4.5)U,timestamp

5.0,1.65,3.95,5.5,2.0,2.5,3.0,1.5,10.5,VFL ANKARA  VFL BERLIN,Sat 10:47,0,0,1.35,3.05,2.1,1.65,3.85,1.22,0.0,0.0,08/09/2018 Sat 10:42
3.65,1.85,4.3,3.5,2.3,2.75,2.2,1.65,28.0,VFL STOCKHOLM  VFL LONDON,Sat 10:47,0,0,0.0,0.0,1.5,2.45,2.4,1.5,4.2,1.18,08/09/2018 Sat 10:42
5.25,1.75,3.5,5.25,2.1,2.45,3.0,1.55,10.25,VFL BERN  VFL OSLO,Sat 10:47,0,0,1.3,3.1,2.0,1.75,3.4,1.3,0.0,0.0,08/09/2018 Sat 10:42
1.7,4.3,4.3,2.0,4.35,2.85,1.55,2.55,24.0,VFL ROME  VFL PARIS,Sat 10:47,0,0,0.0,0.0,1.55,2.3,2.4,1.5,3.95,1.2,08/09/2018 Sat 10:42
5.75,1.65,3.85,5.75,1.95,2.55,3.3,1.45,10.25,VFL VIENNA  VFL AMSTERDAM,Sat 10:47,0,0,1.5,2.45,2.45,1.5,4.3,1.18,0.0,0.0,08/09/2018 Sat 10:42
2.0,3.95,3.4,2.55,4.65,2.1,1.75,2.55,8.75,VFL COPENHAGEN  VFL EDINBURGH,Sat 10:47,0,0,1.5,2.4,2.5,1.45,4.8,1.15,0.0,0.0,08/09/2018 Sat 10:42
1.4,6.5,5.5,1.8,7.75,2.5,1.3,3.7,18.0,VFL MADRID  VFL BRUSSELS,Sat 10:47,0,0,1.22,3.8,1.7,2.0,3.2,1.3,0.0,0.0,08/09/2018 Sat 10:42
1.75,5.25,3.4,2.15,6.0,2.2,1.55,3.05,8.75,VFL LISBON  VFL ATHENS,Sat 10:47,0,0,1.4,2.65,2.45,1.5,4.45,1.16,0.0,0.0,08/09/2018 Sat 10:42
6.5,1.5,4.35,6.25,1.95,2.5,3.3,1.4,13.25,VFL BERN  VFL AMSTERDAM,Sat 10:56,0.0,0.0,1.3,3.2,1.95,1.75,3.55,1.25,0.0,0.0,08/09/2018 Sat 10:52
1.4,7.75,4.6,1.8,7.75,2.55,1.35,3.55,15.0,VFL LISBON  VFL EDINBURGH,Sat 10:56,0.0,0.0,1.25,3.5,1.85,1.85,3.2,1.3,0.0,0.0,08/09/2018 Sat 10:52
1.95,3.45,3.95,2.4,3.7,2.55,1.7,2.25,20.0,VFL ROME  VFL OSLO,Sat 10:56,0.0,0.0,1.2,4.1,1.7,2.05,2.6,1.45,0.0,0.0,08/09/2018 Sat 10:52
2.6,2.65,3.45,3.25,3.25,2.15,2.05,2.0,10.25,VFL ANKARA  VFL ATHENS,Sat 10:56,0.0,0.0,1.35,2.85,2.2,1.6,3.95,1.2,0.0,0.0,08/09/2018 Sat 10:52
