1,2,X,HT1,HT2,HTX,FS (0:0),FS(0:0)2,FS(0:0)X,TEAMSd,TIMED,'G(0.5)O''',G(0.5)U,G(1.5)O,G(1.5)U,G(2.5)O,G(2.5)U,G(3.5)O,G(3.5)U,G(4.5)O,G(4.5)U,timestamp
2.5,2.45,4.05,2.85,3.15,2.45,1.95,1.95,17.75,VFL OSLO  VFL BERLIN,Thu 22:32,0,0,1.3,3.2,1.95,1.8,3.2,1.3,0,0,06/09/2018 Thu 22:31
1.65,5.25,4.1,1.85,5.75,2.7,1.4,3.05,19,VFL LISBON  VFL STOCKHOLM,Thu 22:32,0,0,1.22,3.75,1.75,1.95,2.95,1.35,0,0,06/09/2018 Thu 22:31
2.35,3.2,3.2,2.9,3.7,2.15,1.95,2.1,10,VFL EDINBURGH  VFL COPENHAGEN,Thu 22:32,0,0,1.4,2.65,2.75,1.4,5.25,1.12,0,0,06/09/2018 Thu 22:31
1.75,5.75,3.3,2.2,6.75,2.1,1.55,3.15,8,VFL BRUSSELS  VFL BERN,Thu 22:32,0,0,1.45,2.6,2.5,1.5,4.35,1.18,0,0,06/09/2018 Thu 22:31
2.7,2.5,3.65,2.95,2.95,2.45,1.95,1.95,17.5,VFL ANKARA  VFL PARIS,Thu 22:32,0,0,1.25,3.6,1.7,2,2.75,1.4,0,0,06/09/2018 Thu 22:31
1.8,4.1,4.05,2.2,4.15,2.6,1.6,2.6,14.25,VFL AMSTERDAM  VFL ROME,Thu 22:32,0,0,1.22,3.9,1.7,2,2.7,1.4,0,0,06/09/2018 Thu 22:31
1.2,11.75,7.75,1.45,12,3.35,1.18,4.85,27,VFL MADRID  VFL VIENNA,Thu 22:32,0,0,1.18,4.2,1.55,2.25,2.6,1.45,0,0,06/09/2018 Thu 22:31
1.6,5.5,4.15,1.85,6.25,2.65,1.4,3.4,13.25,VFL LONDON  VFL ATHENS,Thu 22:32,0,0,1.25,3.6,1.85,1.85,3,1.35,0,0,06/09/2018 Thu 22:31
1.45,6.5,5,1.7,6,3,1.35,3.15,28,VFL LONDON  VFL STOCKHOLM,Thu 22:41,0,0,0,0,1.45,2.5,2.15,1.65,3.65,1.25,06/09/2018 Thu 22:38
2.05,3.2,3.9,2.4,3.55,2.6,1.75,2.25,13.25,VFL AMSTERDAM  VFL BERLIN,Thu 22:41,0,0,1.25,3.4,1.9,1.8,3.2,1.3,0,0,06/09/2018 Thu 22:38
3.95,1.85,4,3.75,2.2,2.8,2.7,1.55,16.5,VFL ANKARA  VFL OSLO,Thu 22:41,0,0,1.22,3.85,1.85,1.85,3.15,1.3,0,0,06/09/2018 Thu 22:38
3.1,2.75,2.75,3.5,3.15,2.1,2.4,2.05,5.5,VFL VIENNA  VFL COPENHAGEN,Thu 22:41,1.15,5.5,1.7,2,0,1.3,0,0,0,0,06/09/2018 Thu 22:38
1.35,7.75,5.25,1.6,8.25,2.95,1.3,3.55,25,VFL MADRID  VFL ATHENS,Thu 22:41,0,0,0,0,1.65,2.15,2.5,1.45,4.25,1.18,06/09/2018 Thu 22:38
2.3,3.05,3.55,2.95,3.65,2.15,1.85,2.15,12.25,VFL LISBON  VFL ROME,Thu 22:41,0,0,1.4,2.85,2.2,1.6,3.9,1.22,0,0,06/09/2018 Thu 22:38
2.1,3.4,3.55,2.4,3.95,2.45,1.7,2.45,10.5,VFL EDINBURGH  VFL BERN,Thu 22:41,0,0,1.35,2.9,2.1,1.65,4,1.2,0,0,06/09/2018 Thu 22:38
2.4,3,3.35,2.9,3.9,2.1,1.9,2.15,10,VFL BRUSSELS  VFL PARIS,Thu 22:41,0,0,1.4,2.65,2.5,1.45,4.85,1.15,0,0,06/09/2018 Thu 22:38
6.25,1.5,4.55,5.25,2,2.6,2.85,1.45,20,VFL BERN  VFL LONDON,Thu 22:46,0,0,1.2,4.05,1.7,2.05,2.55,1.45,0,0,06/09/2018 Thu 22:43
3.2,2.55,2.9,3.8,3.1,2.05,2.4,2,6,VFL COPENHAGEN  VFL ATHENS,Thu 22:46,1.14,6,1.7,2.05,0,1.3,0,0,0,0,06/09/2018 Thu 22:43
1.4,7.25,4.85,1.8,5.25,3,1.4,3.25,19.75,VFL ROME  VFL EDINBURGH,Thu 22:46,0,0,0,0,1.6,2.2,2.4,1.5,3.85,1.22,06/09/2018 Thu 22:43
1.6,6,3.8,2.25,5.5,2.2,1.5,3.3,8.5,VFL BERLIN  VFL BRUSSELS,Thu 22:46,0,0,1.4,2.75,2.25,1.55,4.2,1.18,0,0,06/09/2018 Thu 22:43
4.55,1.65,4.3,5.25,1.9,2.75,2.9,1.45,19.75,VFL ANKARA  VFL MADRID,Thu 22:46,0,0,1.2,4.15,1.6,2.2,2.7,1.4,0,0,06/09/2018 Thu 22:43
2.65,2.65,3.4,3.05,3.1,2.3,1.95,2,14.5,VFL OSLO  VFL AMSTERDAM,Thu 22:46,0,0,1.3,3.3,1.85,1.85,2.95,1.35,0,0,06/09/2018 Thu 22:43
3.05,2.15,3.85,3.25,2.85,2.35,2.15,1.8,16.25,VFL PARIS  VFL LISBON,Thu 22:46,0,0,1.3,3.2,2,1.75,3.75,1.22,0,0,06/09/2018 Thu 22:43
1.85,4.15,3.65,2.2,5.5,2.3,1.6,2.65,13,VFL STOCKHOLM  VFL VIENNA,Thu 22:46,0,0,1.3,3.4,1.95,1.75,3.25,1.3,0,0,06/09/2018 Thu 22:43
1.85,3.7,4.3,2.35,4.25,2.4,1.55,2.55,18,VFL LONDON  VFL ROME,Thu 22:50,0,0,0,0,1.6,2.2,2.4,1.5,4.1,1.2,06/09/2018 Thu 22:48
3,2.2,3.75,3.85,2.4,2.5,2.3,1.7,14.75,VFL EDINBURGH  VFL PARIS,Thu 22:50,0,0,1.22,3.75,1.65,2.15,2.65,1.4,0,0,06/09/2018 Thu 22:48
1.3,11,5.25,1.7,8.25,2.65,1.3,4.1,17.75,VFL AMSTERDAM  VFL ANKARA,Thu 22:50,0,0,1.22,3.85,1.7,2.05,2.75,1.4,0,0,06/09/2018 Thu 22:48
2.05,3.25,3.85,2.55,3.55,2.45,1.75,2.2,15.25,VFL ATHENS  VFL STOCKHOLM,Thu 22:50,0,0,1.25,3.7,1.7,2.05,2.65,1.4,0,0,06/09/2018 Thu 22:48
3.05,2.45,3.15,3.55,2.8,2.25,2.4,1.85,8,VFL BRUSSELS  VFL OSLO,Thu 22:50,0,0,1.5,2.4,2.4,1.5,4.65,1.16,0,0,06/09/2018 Thu 22:48
2.25,3.5,3.1,3,3.8,2.05,1.9,2.35,7.25,VFL VIENNA  VFL BERN,Thu 22:50,0,0,1.55,2.3,2.7,1.4,4.7,1.15,0,0,06/09/2018 Thu 22:48
1.3,8.25,6,1.6,9,3,1.25,4.35,18,VFL MADRID  VFL COPENHAGEN,Thu 22:50,0,0,1.22,3.85,1.7,2.05,2.9,1.35,0,0,06/09/2018 Thu 22:48
2.5,2.55,3.9,3,3.05,2.4,2,2.05,10.75,VFL LISBON  VFL BERLIN,Thu 22:50,0,0,1.45,2.65,2.2,1.6,3.9,1.22,0,0,06/09/2018 Thu 22:48
1.4,8.5,4.8,1.75,7.75,2.65,1.3,3.85,15.25,VFL ROME  VFL VIENNA,Thu 22:55,0,0,1.25,3.5,1.85,1.85,3.05,1.35,0,0,06/09/2018 Thu 22:52
1.3,10.5,5.75,1.6,7.75,3.05,1.3,3.65,30,VFL BERLIN  VFL EDINBURGH,Thu 22:55,0,0,0,0,1.65,2.1,2.6,1.45,4.5,1.16,06/09/2018 Thu 22:52
2.3,3.3,3.2,2.75,3.45,2.35,1.8,2.35,10,VFL OSLO  VFL LISBON,Thu 22:55,0,0,1.4,2.7,2.2,1.6,3.8,1.22,0,0,06/09/2018 Thu 22:52
3.05,2.45,3.2,3.6,2.9,2.2,2.3,1.9,8,VFL BERN  VFL ATHENS,Thu 22:55,0,0,1.5,2.45,2.6,1.45,4.85,1.14,0,0,06/09/2018 Thu 22:52
2.15,2.95,4.15,2.6,3.15,2.65,1.8,2,27,VFL AMSTERDAM  VFL MADRID,Thu 22:55,0,0,0,0,1.55,2.25,2.45,1.5,4.3,1.18,06/09/2018 Thu 22:52
1.95,3.95,3.5,2.3,4.45,2.35,1.65,2.55,11.25,VFL STOCKHOLM  VFL COPENHAGEN,Thu 22:55,0,0,1.35,3,2.1,1.65,3.55,1.25,0,0,06/09/2018 Thu 22:52
3.3,1.95,4.2,3.45,2.35,2.75,2.1,1.75,26,VFL PARIS  VFL LONDON,Thu 22:55,0,0,0,0,1.55,2.3,2.35,1.5,4.25,1.18,06/09/2018 Thu 22:52
3.15,2.4,3.15,3.4,2.8,2.35,2.3,1.9,8,VFL ANKARA  VFL BRUSSELS,Thu 22:55,0,0,1.5,2.4,2.65,1.4,5.5,1.12,0,0,06/09/2018 Thu 22:52
2,4.2,3.25,2.6,4.85,2.05,1.75,2.65,7.75,VFL COPENHAGEN  VFL BERN,Thu 23:00,0,0,1.55,2.3,2.75,1.4,5.25,1.12,0,0,06/09/2018 Thu 22:57
1.3,7.25,6.75,1.6,5.75,3.6,1.35,3.2,54,VFL MADRID  VFL STOCKHOLM,Thu 23:00,0,0,0,0,1.3,3.2,1.8,1.95,2.9,1.35,06/09/2018 Thu 22:57
2.9,2.2,4.05,3.4,2.75,2.35,2.15,1.8,15.5,VFL VIENNA  VFL PARIS,Thu 23:00,0,0,1.35,2.95,2,1.7,4.05,1.2,0,0,06/09/2018 Thu 22:57
3.9,2.15,3.1,3.75,2.7,2.25,2.45,1.75,9.25,VFL BRUSSELS  VFL AMSTERDAM,Thu 23:00,0,0,1.45,2.6,2.55,1.45,5.5,1.12,0,0,06/09/2018 Thu 22:57
3.3,2.1,3.75,3.45,2.45,2.6,2.15,1.8,15.5,VFL ATHENS  VFL ROME,Thu 23:00,0,0,1.25,3.65,1.8,1.9,3.3,1.3,0,0,06/09/2018 Thu 22:57
1.45,7.5,4.6,1.8,7,2.6,1.35,3.55,14,VFL LISBON  VFL ANKARA,Thu 23:00,0,0,1.25,3.45,1.9,1.8,3.6,1.25,0,0,06/09/2018 Thu 22:57
4.65,1.8,3.5,4.2,2.35,2.4,2.55,1.6,15.5,VFL EDINBURGH  VFL OSLO,Thu 23:00,0,0,1.22,3.8,1.85,1.9,3.2,1.3,0,0,06/09/2018 Thu 22:57
2.55,2.55,3.75,2.7,2.95,2.7,1.9,2,16.75,VFL LONDON  VFL BERLIN,Thu 23:00,0,0,1.25,3.7,1.7,2.05,2.8,1.4,0,0,06/09/2018 Thu 22:57
2.1,3.2,3.75,2.45,4.5,2.2,1.8,2.2,13,VFL ANKARA  VFL EDINBURGH,Thu 23:04,0,0,1.35,2.95,2.05,1.7,3.45,1.25,0,0,06/09/2018 Thu 23:01
2.8,2.2,4.3,3.55,2.6,2.45,2.2,1.7,21,VFL BERN  VFL STOCKHOLM,Thu 23:04,0,0,1.25,3.6,1.75,1.95,3,1.35,0,0,06/09/2018 Thu 23:01
1.35,9.5,5,1.65,10.25,2.65,1.3,4.65,12,VFL BERLIN  VFL VIENNA,Thu 23:04,0,0,1.35,3,2.05,1.7,3.7,1.22,0,0,06/09/2018 Thu 23:01
